Time,Country Name,Female share of seats
2021,Afghanistan,
2021,Albania,
2021,Algeria,
2021,American Samoa,
2021,Andorra,
2021,Angola,
2021,Antigua and Barbuda,
2021,Argentina,6
2021,Armenia,
2021,Aruba,
2021,Australia,34.8
2021,Austria,34.6
2021,Azerbaijan,
2021,The Bahamas,
2021,Bahrain,
2021,Bangladesh,
2021,Barbados,
2021,Belarus,
2021,Belgium,37.9
2021,Belize,
2021,Benin,
2021,Bermuda,19.1
2021,Bhutan,
2021,Bolivia,
2021,Bosnia and Herzegovina,
2021,Botswana,
2021,Brazil,16.9
2021,British Virgin Islands,
2021,Brunei,
2021,Bulgaria,
2021,Burkina Faso,
2021,Burundi,
2021,Cabo Verde,
2021,Cambodia,
2021,Cameroon,
2021,Canada,32.9
2021,Cayman Islands,
2021,Central African Rep.,
2021,Chad,
2021,Channel Islands,
2021,Chile,15.2
2021,China,13.8
2021,Colombia,12.9
2021,Comoros,
2021,Dem. Rep. Congo,
2021,Congo,
2021,Costa Rica,
2021,C™te d'Ivoire,
2021,Croatia,
2021,Cuba,
2021,Curacao,
2021,Cyprus,
2021,Czechia,23
2021,Denmark,34.9
2021,Djibouti,
2021,Dominica,
2021,Dominican Republic,
2021,Ecuador,
2021,Egypt,
2021,El Salvador,
2021,Equatorial Guinea,
2021,Eritrea,
2021,Estonia,9.1
2021,Eswatini,
2021,Ethiopia,
2021,Faroe Islands,
2021,Fiji,
2021,Finland,35.2
2021,France,45.3
2021,French Polynesia,
2021,Gabon,
2021,Gambia,
2021,Georgia,
2021,Germany,36
2021,Ghana,
2021,Gibraltar,
2021,Greece,19.6
2021,Greenland,
2021,Grenada,
2021,Guam,
2021,Guatemala,
2021,Guinea,
2021,Guinea-Bissau,
2021,Guyana,
2021,Haiti,
2021,Honduras,
2021,"Hong Kong SAR, China",
2021,Hungary,9.4
2021,Iceland,47.1
2021,India,17.1
2021,Indonesia,12.2
2021,Iran,
2021,Iraq,
2021,Ireland,30.2
2021,Isle of Man,
2021,Israel,26.7
2021,Italy,38.8
2021,Jamaica,
2021,Japan,12.6
2021,Jordan,
2021,Kazakhstan,
2021,Kenya,
2021,Kiribati,
2021,North Korea,
2021,South Korea,8.7
2021,Kosovo,
2021,Kuwait,
2021,Kyrgyzstan,
2021,Laos,
2021,Latvia,22.2
2021,Lebanon,
2021,Lesotho,
2021,Liberia,
2021,Libya,
2021,Liechtenstein,
2021,Lithuania,22.3
2021,Luxembourg,22.4
2021,"Macao SAR, China",
2021,Madagascar,
2021,Malawi,
2021,Malaysia,24
2021,Maldives,
2021,Mali,
2021,Malta,
2021,Marshall Islands,
2021,Mauritania,
2021,Mauritius,
2021,Mexico,10.6
2021,"Micronesia, Fed. Sts.",
2021,Moldova,
2021,Monaco,10.3
2021,Mongolia,
2021,Montenegro,
2021,Morocco,
2021,Mozambique,
2021,Myanmar,
2021,Namibia,
2021,Nauru,
2021,Nepal,
2021,Netherlands,38.1
2021,New Caledonia,
2021,New Zealand,43.5
2021,Nicaragua,
2021,Niger,
2021,Nigeria,21.7
2021,North Macedonia,
2021,Northern Mariana Islands,
2021,Norway,41.5
2021,Oman,
2021,Pakistan,5.5
2021,Palau,
2021,Panama,
2021,Papua New Guinea,
2021,Paraguay,
2021,Peru,
2021,Philippines,17.7
2021,Poland,24.7
2021,Portugal,31
2021,Puerto Rico,
2021,Qatar,
2021,Romania,
2021,Russia,12
2021,Rwanda,
2021,Samoa,
2021,San Marino,
2021,Sao Tome and Principe,
2021,Saudi Arabia,
2021,Senegal,
2021,Serbia,
2021,Seychelles,
2021,Sierra Leone,
2021,Singapore,18.4
2021,Sint Maarten (Dutch part),
2021,Slovak Republic,27.7
2021,Slovenia,19.4
2021,Solomon Islands,
2021,Somalia,
2021,South Africa,34
2021,S. Sudan,
2021,Spain,32.6
2021,Sri Lanka,
2021,St. Kitts and Nevis,
2021,St. Lucia,
2021,St. Martin (French part),
2021,St. Vincent and the Grenadines,
2021,Sudan,
2021,Suriname,
2021,Sweden,37.9
2021,Switzerland,30
2021,Syria,
2021,Tajikistan,
2021,Tanzania,
2021,Thailand,17.8
2021,Timor-Leste,
2021,Togo,
2021,Tonga,
2021,Trinidad and Tobago,
2021,Tunisia,
2021,Turkey,18
2021,Turkmenistan,
2021,Turks and Caicos Islands,
2021,Tuvalu,
2021,Uganda,
2021,Ukraine,
2021,United Arab Emirates,
2021,United Kingdom,37.8
2021,United States of America,29.7
2021,Uruguay,
2021,Uzbekistan,
2021,Vanuatu,
2021,Venezuela,
2021,Vietnam,29.7
2021,Virgin Islands (U.S.),
2021,Palestine,
2021,"Yemen, Rep.",
2021,Zambia,
2021,Zimbabwe,
